thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_2.started,text_2.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,FALSE,0.002428,0.0437034,0.0437034,3.6554524,r,1.520065,None,,,,,,,,,,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
0,0,0,space,0.6082922,None,0,0,0,0,3.746148,,,,,,,,,,3.6642544,3.746148,4.1601755,4.1601755,4.1601755,4.7780506,space,0.6082922,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
1,0,1,space,0.4414599,None,1,0,1,0,4.7932933,,,,,,,,,,4.7785182,4.7932933,5.2933372,5.2933372,5.2933372,5.7444852,space,0.4414599,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
2,0,2,space,0.2765073,None,2,0,2,0,5.7599196,,,,,,,,,,5.7449844,5.7599196,6.2600652,6.2600652,6.2600652,6.5440062,space,0.2765073,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
3,0,3,space,0.3136693,None,3,0,3,0,6.5602355,,,,,,,,,,6.5445066,6.5602355,7.0433228,7.0433228,7.0433228,7.3607515,space,0.3136693,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
4,0,4,space,0.3334261,None,4,0,4,0,7.3772351,,,,,,,,,,7.3612229,7.3772351,7.8768084,7.8768084,7.8768084,8.2112844,space,0.3334261,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
5,0,5,space,0.3032977,None,5,0,5,0,8.2264627,,,,,,,,,,8.2117494,8.2264627,8.7263985,8.7263985,8.7263985,9.0443038,space,0.3032977,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
6,0,6,space,0.2552288,None,6,0,6,0,9.0599315,,,,,,,,,,9.0447593,9.0599315,9.559452,9.559452,9.559452,9.8267572,space,0.2552288,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
7,0,7,space,0.2520208,None,7,0,7,0,9.8429394,,,,,,,,,,9.8269443,9.8429394,10.3262499,10.3262499,10.3262499,10.5933897,space,0.2520208,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
8,0,8,space,0.2481915,None,8,0,8,0,10.6095229,,,,,,,,,,10.5936011,10.6095229,11.0930262,11.0930262,11.0930262,11.3437733,space,0.2481915,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
9,0,9,space,0.2686178,None,9,0,9,0,11.3597854,,,,,,,,,,11.3442567,11.3597854,11.8428283,11.8428283,11.8428283,12.1271523,space,0.2686178,None,,,,,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1273902,12.1428194,14.1425569,14.1275782,2,1,2026-09-06_18h37.41.794,first_exp1,,2026.2.3,60.17893605,2026-09-06 18h37.41.936801 +0530
